zona_leste,zona_norte,zona_oeste,zona_sul,quartos,area,preco
0,0,1,0,4.0,332.0,10000.0
0,0,1,0,1.0,40.0,1250.0
0,0,0,1,4.0,610.0,12000.0
0,0,0,1,3.0,120.0,3500.0
1,0,0,0,4.0,140.0,2000.0
1,0,0,0,2.0,67.0,1100.0
1,0,0,0,1.0,50.0,850.0
1,0,0,0,1.0,30.0,600.0
0,1,0,0,4.0,250.0,3700.0
1,0,0,0,1.0,30.0,1100.0
0,1,0,0,2.0,42.0,1100.0
1,0,0,0,2.0,78.0,1100.0
0,1,0,0,1.0,70.0,850.0
0,0,1,0,5.0,450.0,12000.0
1,0,0,0,1.0,80.0,1100.0
0,0,0,1,,400.0,20000.0
1,0,0,0,3.0,225.0,7000.0
0,0,0,1,2.0,280.0,7000.0
0,1,0,0,1.0,40.0,790.0
1,0,0,0,3.0,150.0,1400.0
0,0,0,1,2.0,90.0,950.0
1,0,0,0,1.0,50.0,900.0
0,0,0,1,2.0,54.0,1500.0
0,1,0,0,2.0,400.0,4000.0
0,1,0,0,3.0,200.0,3000.0
1,0,0,0,2.0,75.0,1300.0
1,0,0,0,3.0,130.0,2000.0
1,0,0,0,,40.0,600.0
1,0,0,0,3.0,90.0,1700.0
0,0,1,0,,230.0,7500.0
0,1,0,0,3.0,135.0,3200.0
0,0,1,0,,300.0,18000.0
0,0,1,0,,186.0,11000.0
1,0,0,0,,500.0,5500.0
0,0,0,1,3.0,250.0,7000.0
0,0,0,1,5.0,400.0,15000.0
0,1,0,0,4.0,300.0,4000.0
1,0,0,0,1.0,53.0,2500.0
0,0,0,1,2.0,70.0,1800.0
0,0,1,0,3.0,196.0,3800.0
0,1,0,0,2.0,45.0,1400.0
0,0,1,0,2.0,100.0,1900.0
0,0,0,1,1.0,60.0,2300.0
0,0,0,1,4.0,415.0,15000.0
0,1,0,0,3.0,225.0,3000.0
0,1,0,0,3.0,120.0,2400.0
0,0,1,0,2.0,90.0,1200.0
0,0,1,0,3.0,200.0,4000.0
1,0,0,0,3.0,170.0,3500.0
1,0,0,0,3.0,250.0,2000.0
0,0,0,1,3.0,400.0,12000.0
0,1,0,0,2.0,110.0,2500.0
0,0,1,0,2.0,80.0,1200.0
0,0,1,0,4.0,400.0,25000.0
0,0,0,1,,430.0,25000.0
0,0,0,1,,350.0,12000.0
0,0,0,1,2.0,106.0,4500.0
0,0,0,1,2.0,120.0,1700.0
0,1,0,0,3.0,96.0,2200.0
0,0,1,0,4.0,600.0,8000.0
0,0,0,1,4.0,295.0,12100.0
0,1,0,0,3.0,180.0,2900.0
0,0,1,0,1.0,40.0,1200.0
1,0,0,0,2.0,120.0,1500.0
0,0,0,1,3.0,300.0,9500.0
1,0,0,0,2.0,45.0,990.0
1,0,0,0,1.0,60.0,1100.0
0,0,0,1,,100.0,4400.0
0,0,0,1,,185.0,7000.0
0,0,0,1,2.0,69.0,2300.0
0,0,0,1,,152.0,7000.0
1,0,0,0,3.0,130.0,2500.0
0,1,0,0,1.0,50.0,750.0
1,0,0,0,2.0,80.0,1300.0
0,0,1,0,3.0,900.0,8000.0
1,0,0,0,2.0,100.0,1300.0
0,0,1,0,,695.0,22000.0
0,1,0,0,1.0,80.0,750.0
1,0,0,0,2.0,50.0,1300.0
0,0,0,1,1.0,25.0,600.0
0,0,0,1,1.0,15.0,1250.0
1,0,0,0,1.0,40.0,850.0
0,0,1,0,5.0,325.0,18000.0
0,0,1,0,1.0,60.0,1500.0
0,0,1,0,2.0,120.0,2650.0
0,0,1,0,2.0,60.0,3500.0
0,0,1,0,1.0,25.0,600.0
1,0,0,0,5.0,240.0,10000.0
1,0,0,0,2.0,60.0,1200.0
0,1,0,0,5.0,570.0,9000.0
0,1,0,0,8.0,350.0,7000.0
0,1,0,0,1.0,35.0,700.0
0,0,1,0,2.0,80.0,2200.0
0,0,0,1,3.0,170.0,5000.0
0,1,0,0,2.0,217.0,1200.0
0,0,0,1,,596.0,35000.0
0,1,0,0,2.0,70.0,1200.0
0,1,0,0,1.0,48.0,1200.0
0,1,0,0,2.0,120.0,1580.0
0,1,0,0,1.0,50.0,650.0
